Country,Code,ContinentCode,Year,Cost of living index world average = 100,Food price index world average = 100,Fruit price index world average = 100,Vegetable price index world average = 100,Bread and cereal prices world average = 100,Milk cheese and eggs price index world average = 100,Meat price index world average = 100,Fish and seafood prices world average = 100,Alcohol beverage price index world average = 100,Clothing and footwear prices world average = 100,Housing and utilities price index world average  = 100,Furniture and household maintenance prices world average = 100,Healthcare price index world average = 100,Transport prices world average = 100,Hotel and restaurant price index world average = 100,Vehicle prices world average = 100,Communication price index world average = 100,Recreation and culture price index world average = 100,Education service price index world average = 100,Machinery and equipment prices world average = 100
Azerbaijan,AZE,AS,2017,40.56,55.135,58.45,52.96,56.5,70.22,58.45,70.25,42.06,74.75,22.43,69.61,26.68,52.79,59.3,46.42,28.7,51.31,13.59,90.62
Azerbaijan,AZE,AS,2021,39.43,60.27,51.77,52.5,56.35,81.38,60.28,82.79,70.33,85.74,21.92,67.54,21.05,51.95,48.92,81.73,54.29,44.98,24.94,84.34
Bahamas,BHS,NA,2017,158.09,156.742,268.52,183.11,195.61,204.57,99.92,101.47,226.76,184.2,129.749,208.34,170.78,138.57,118.98,136.57,181.29,161.29,161.34,119.11
Bahrain,BHR,AS,2017,77.81,110.878,150.81,117.69,117.22,104.67,108.77,75.68,444.9,95.06,61.304,72.06,78.14,58.36,79.28,85.41,95.63,83.14,89.11,100.85
Bahrain,BHR,AS,2021,81.32,121.53,142.2,122.89,128.32,121.39,125.2,80.48,249.82,82.46,68.97,86.9,74.37,69.86,71.76,83.12,118.74,98.05,98.81,103.68
Bangladesh,BGD,AS,2017,52.6,79.094,88.45,54.59,79.41,93.78,85.14,73.52,,54.66,36.09,61.51,33.09,64.48,40.86,123.16,51.2,43.06,47.82,131.2
Bangladesh,BGD,AS,2021,50.17,85.86,81.75,55.62,90.87,107.69,96.22,80.37,,63.29,31.31,50.83,26.9,73.72,39.47,130.5,48.7,51.07,36.77,113.38
Barbados,BRB,NA,2017,169.9,182.578,305.29,308.21,186.54,146.9,155.65,155.37,200.39,138.84,162.409,157.42,146.66,143.79,124.83,188.08,143.42,139.79,189.35,153.34
Belarus,BLR,EU,2017,45.75,64.894,82.97,63.15,63.26,65.82,66.37,74.08,49.54,82.98,26.102,76.51,26.83,59.62,66.36,50.41,29.95,56.55,17.02,85.69
Belarus,BLR,EU,2021,40.99,59.01,64.72,61.45,59.25,62.14,52.51,74.09,,80.07,29.54,65.12,24.98,57.38,49.3,72.01,43.48,43.7,25.64,82.1
Belgium,BEL,EU,2017,136.89,129.24,146.4,132.85,133.3,107.31,154.94,159.72,93.48,132.84,169.215,123.41,128.34,141.05,149.13,113.55,164.29,116.88,179.94,92.95
